ID,Engaj,Idade,Regiao,Regiao_int,Tipo_Cliente,Sexo,Total_gasto,Tempo_relacionamento,Campanha,Status
0000063002,7,47,Leste,L01,31,F,0.019999999999999997,5,0,Prata
0000063983,8,71,Centro-Oeste,CO01,37,M,1000,6,0,Prata
0000071986,8,62,Centro-Oeste,CO02,27,F,1000,5,1,Prata
0000072559,15,72,Centro-Oeste,CO02,37,U,6340.26,12,0,Ouro
0000073148,8,39,Centro-Oeste,CO02,44,F,2241.3599999999997,4,1,Prata
0000075205,6,76,Centro-Oeste,CO04,34,M,12000,19,0,Ouro
0000075469,7,61,Sul,S01,11,F,6000,11,1,Ouro
0000080322,6,53,Centro-Oeste,CO02,32,,0.009999999999999998,5,0,Bronze
0000080608,8,60,Norte,N03,22,M,60,11,1,Prata
0000082678,15,42,Leste,L01,52,F,0.009999999999999998,5,1,Bronze
0000083852,13,,Leste,L01,04,F,5000,4,0,Prata
0000084573,10,57,Centro-Oeste,CO02,38,F,50,11,0,Prata
0000087750,6,45,Centro-Oeste,CO02,51,M,0.009999999999999998,4,0,Bronze
0000089796,11,75,Centro-Oeste,CO01,12,F,3052.66,8,1,Prata
0000091588,8,37,Norte,N03,38,F,0.009999999999999998,5,1,Bronze
0000093564,13,61,Oeste,O,42,U,3000,8,0,Prata
0000095036,12,61,,,08,F,1020,9,0,Prata
0000095982,19,39,Norte,N03,04,F,0.009999999999999998,8,1,Bronze
0000097802,7,55,Centro-Oeste,CO03,,M,2000,1,0,Prata
0000102385,8,57,Sul,S02,08,M,9000,9,0,Ouro
0000103225,13,18,Leste,L02,22,F,6000,1,0,Ouro
0000108413,5,56,Norte,N02,01,U,3000,8,0,Prata
0000109819,9,50,Norte,N01,27,F,20000,4,0,Ouro
0000113743,,54,Norte,N02,51,F,2000,2,0,Prata
0000117498,11,67,Norte,N01,15,U,22000,8,0,Platino
0000118397,7,78,Centro-Oeste,CO02,37,F,2000,24,0,Prata
0000121312,5,61,Centro-Oeste,CO02,19,F,0.009999999999999998,5,0,Bronze
0000121495,5,45,Leste,L01,14,,600,11,0,Prata
0000124710,11,66,Leste,L01,01,F,2000,5,0,Prata
0000126098,2,51,Norte,N03,24,U,10000,5,0,Ouro
0000126586,3,,Centro-Oeste,CO02,18,F,15000,1,0,Ouro
0000127892,10,60,Norte,N02,12,,1020,9,0,Prata
0000129283,9,48,Centro-Oeste,CO01,19,M,3000,2,0,Prata
0000129410,8,53,Leste,L02,24,F,100,1,0,Prata
0000134872,10,72,Centro-Oeste,CO02,45,U,12000,8,1,Ouro
0000140597,9,68,Leste,L01,41,F,0.009999999999999998,7,0,Bronze
0000144649,8,47,Sul,S03,01,F,0.009999999999999998,5,0,Bronze
0000145157,11,39,Leste,L01,40,F,2800,1,1,Prata
0000146730,12,72,Leste,L01,04,F,0.009999999999999998,8,0,Bronze
0000148415,10,67,Leste,L01,40,M,6000,4,0,Ouro
0000148849,9,60,Leste,L01,25,F,0.009999999999999998,8,0,Bronze
0000151432,6,,Norte,N03,30,M,9000,3,0,Ouro
0000154040,11,52,Norte,N02,52,M,0.009999999999999998,9,0,Bronze
0000156515,7,55,Centro-Oeste,CO02,27,F,0.009999999999999998,8,0,Bronze
0000158216,14,65,Leste,L02,,M,6053.349999999999,6,0,Ouro
0000159522,13,41,Leste,L01,12,M,0.009999999999999998,7,1,Bronze
0000162485,16,34,Centro-Oeste,CO01,28,F,3000,3,1,Prata
0000165808,6,40,Norte,N02,32,F,1500,7,1,Prata
0000168394,9,35,Leste,L01,53,F,0.009999999999999998,4,1,Bronze
0000170127,7,50,Norte,N03,10,M,5000,10,0,Prata
0000181498,6,62,Norte,N02,01,,3000,29,0,Prata
0000191396,7,,Norte,N03,51,M,0.009999999999999998,10,0,Bronze
0000192791,9,60,Centro-Oeste,CO01,16,M,8100,5,0,Ouro
0000197440,8,49,Norte,N02,14,F,7600,4,0,Ouro
0000202878,6,57,Centro-Oeste,CO02,53,M,2000,8,0,Prata
0000203289,7,52,Centro-Oeste,CO02,51,U,23053.35,6,0,Platino
0000206032,6,75,Sul,S02,52,M,10000,17,0,Ouro
0000209732,15,55,Centro-Oeste,CO02,37,,10000,6,0,Ouro
0000213241,5,57,,,51,F,12000,1,0,Ouro
0000215554,8,52,Norte,N02,22,F,2500,6,1,Prata
0000217158,12,74,Centro-Oeste,CO01,03,F,6000,5,0,Ouro
0000223182,9,79,Leste,L01,28,F,5000,5,0,Prata
0000234540,6,48,Norte,N03,32,,420,4,0,Prata
0000239844,11,60,Leste,L01,41,,0.009999999999999998,8,0,Bronze
0000243051,3,38,Norte,N02,53,F,50,9,1,Prata
0000248258,9,58,Norte,N02,10,F,5000,5,0,Prata
0000249335,4,52,Centro-Oeste,CO04,30,M,1800,4,0,Prata
0000252646,3,45,Norte,N03,47,F,100.01,9,0,Prata
0000253839,9,42,Norte,N02,51,F,2000,4,0,Prata
0000256366,10,40,Centro-Oeste,CO02,51,U,50,10,0,Prata
0000259802,5,55,Centro-Oeste,CO02,35,,10100,8,0,Ouro
0000262684,8,77,Centro-Oeste,CO02,23,,6000,3,0,Ouro
0000263419,11,27,Leste,L01,19,F,0.009999999999999998,7,1,Bronze
0000267236,4,60,Norte,N02,37,F,0.009999999999999998,8,0,Bronze
0000270962,7,58,Leste,L01,04,U,2500,5,0,Prata
0000271101,7,54,Centro-Oeste,CO02,05,,0.009999999999999998,,0,Bronze
0000274623,7,42,Norte,N02,32,M,0.009999999999999998,4,0,Bronze
0000275700,10,36,,,48,F,1000,9,1,Prata
0000276871,6,,Leste,L01,41,F,5500,1,1,Ouro
0000277010,4,57,Leste,L01,31,F,0.009999999999999998,5,0,Bronze
0000278661,10,72,Centro-Oeste,CO02,18,F,11105.32,8,0,Ouro
0000280895,10,,Centro-Oeste,CO01,17,F,0.009999999999999998,6,1,Bronze
0000282057,7,37,Norte,N02,51,F,0.009999999999999998,5,0,Bronze
0000285846,9,76,Centro-Oeste,CO01,51,F,2000,8,1,Prata
0000287628,6,45,Norte,N02,34,F,0.009999999999999998,5,0,Bronze
0000288748,14,,Leste,L02,19,F,10000,8,0,Ouro
0000290890,,51,Leste,L01,48,M,0.019999999999999997,9,0,Prata
0000293083,15,61,Leste,L02,12,,500,2,0,Prata
0000293555,12,61,Sul,S03,11,F,4000,1,0,Prata
0000295620,9,47,Centro-Oeste,CO03,,M,0.009999999999999998,5,0,Bronze
0000297194,8,52,Centro-Oeste,CO01,50,U,0.009999999999999998,8,0,Bronze
0000300845,8,40,Centro-Oeste,CO02,38,U,1000,1,0,Prata
0000301175,5,56,Centro-Oeste,CO02,34,F,0.009999999999999998,9,0,Bronze
0000301981,8,51,Norte,N02,47,F,9000.01,8,0,Ouro
0000310786,9,50,Leste,L01,24,F,12000,2,0,Ouro
0000312169,4,46,Norte,N02,38,,0.009999999999999998,5,0,Bronze
0000312762,8,41,Leste,L02,08,F,1675,7,1,Prata
0000315559,8,60,Leste,L01,10,M,100.01,8,0,Prata
0000315788,10,70,Leste,L02,15,F,2250,8,0,Prata
0000316350,9,50,Leste,L01,28,F,0.009999999999999998,9,1,Bronze
0000317640,15,37,Centro-Oeste,CO02,49,F,0.009999999999999998,8,1,Bronze
0000317950,9,74,Leste,L01,18,F,3000,5,0,Prata
0000318922,8,61,Oeste,O,37,,1200,6,1,Prata
0000323039,8,49,Norte,N02,04,,4000,3,0,Prata
0000324469,7,,Leste,L02,34,F,0.009999999999999998,8,0,Bronze
0000331341,9,53,Sul,S02,11,M,6000,4,0,Ouro
0000332658,4,,Centro-Oeste,CO02,34,F,0.009999999999999998,5,0,Bronze
0000335606,,59,Sul,S01,45,U,2500,7,0,Prata
0000340146,7,63,Norte,N02,12,,0.009999999999999998,5,0,Bronze
0000342033,7,51,Norte,N02,32,F,3026.6699999999996,10,0,Prata
0000343102,5,62,Norte,N02,27,F,56053.35,7,0,Platino
0000345474,3,46,Leste,L02,23,F,0.09999999999999999,10,0,Prata
0000345865,10,39,Norte,N03,38,M,7500,2,1,Ouro
0000346225,6,53,Leste,L02,36,M,3000,6,1,Prata
0000346403,10,,Centro-Oeste,CO02,27,,0.009999999999999998,5,0,Bronze
0000347086,7,48,Leste,L01,21,F,5000,4,0,Prata
0000347531,7,62,Leste,L02,12,F,12808.95,11,0,Ouro
0000349291,9,26,Leste,L01,12,M,4000,1,0,Prata
0000349739,7,,Norte,N01,41,F,2500,5,0,Prata
0000351482,6,43,Oeste,O,41,F,6000,2,0,Ouro
0000356425,7,78,Centro-Oeste,CO02,41,F,6000,5,0,Ouro
0000356719,3,67,Centro-Oeste,CO01,19,F,12049.25,3,0,Ouro
0000357898,2,45,Norte,N02,27,F,0.009999999999999998,5,0,Bronze
0000358649,10,60,Sul,S02,32,,0.009999999999999998,5,0,Bronze
0000359955,13,68,Leste,L01,44,F,7500,6,0,Ouro
0000361283,14,74,Leste,L02,04,U,20245.89,3,0,Platino
0000362468,5,53,Centro-Oeste,CO02,35,M,0.009999999999999998,8,0,Bronze
0000369225,5,51,Sul,S02,23,M,420,8,0,Prata
0000369780,9,,Leste,L02,04,F,25000,1,0,Platino
0000370398,6,51,Leste,L02,52,F,200,1,0,Prata
0000370622,5,51,Leste,L02,04,U,200,2,0,Prata
0000371475,11,36,Leste,L01,21,M,0.009999999999999998,4,0,Bronze
0000374644,8,63,Centro-Oeste,CO04,49,F,6000,2,0,Ouro
0000375330,8,69,Leste,L02,16,F,500,9,0,Prata
0000376078,11,40,Centro-Oeste,CO02,32,F,0.009999999999999998,5,1,Bronze
0000380113,4,46,Centro-Oeste,CO04,45,F,2165.75,11,0,Prata
0000393347,,46,Leste,L02,34,M,0.009999999999999998,8,0,Bronze
0000396192,8,46,Leste,L02,04,F,2245,11,1,Prata
0000397407,9,38,Norte,N02,35,F,0.009999999999999998,5,1,Bronze
0000397660,4,67,Norte,N02,52,M,11000,5,0,Ouro
0000400297,11,73,Norte,N03,53,U,26000,4,0,Platino
0000403768,5,53,Sul,S01,11,F,9000,8,0,Ouro
0000407364,6,55,Centro-Oeste,CO02,37,F,5000,4,1,Prata
0000408964,9,54,Leste,L01,04,F,3000,8,0,Prata
0000414832,6,45,Leste,L01,52,M,0.009999999999999998,5,0,Bronze
0000418943,10,39,,,25,M,0.009999999999999998,4,1,Bronze
0000421979,5,58,Norte,N02,38,F,420,4,0,Prata
0000423211,8,33,Norte,N01,35,F,0.009999999999999998,5,1,Bronze
0000434671,11,35,Leste,L01,27,M,0.009999999999999998,8,1,Bronze
0000435961,4,71,Norte,N03,04,M,6000,12,0,Ouro
0000439088,10,55,Sul,S01,15,M,0.009999999999999998,4,0,Bronze
0000442542,,57,Oeste,O,27,M,480,11,0,Prata
0000454702,13,53,Leste,L01,05,M,6871.12,5,0,Ouro
0000462705,9,58,Leste,L01,44,F,1500,19,0,Prata
0000467812,13,43,Norte,N03,20,M,0.009999999999999998,5,0,Bronze
0000473596,8,47,Leste,L01,32,F,0.009999999999999998,5,0,Bronze
0000479403,4,74,Leste,L02,18,M,6000,2,0,Ouro
0000481572,10,49,Norte,N01,38,M,5000,1,0,Prata
0000486701,9,58,Leste,L02,27,F,3000,9,0,Prata
0000492566,8,56,Centro-Oeste,CO02,27,F,0.009999999999999998,8,0,Bronze
0000498300,5,47,Leste,L02,14,F,6000,1,0,Ouro
0000500100,14,30,Centro-Oeste,CO02,52,F,100,1,1,Prata
0000502316,3,68,Leste,L02,30,F,50000,4,1,Platino
0000503053,8,45,Norte,N02,35,F,1000,4,0,Prata
0000518069,7,71,Leste,L01,04,F,12000,6,0,Ouro
0000523259,10,65,Leste,L02,28,F,9053.349999999999,8,0,Ouro
0000528102,10,74,Leste,L01,24,F,19000,5,0,Ouro
0000530042,10,43,Norte,N02,32,F,0.009999999999999998,5,1,Bronze
0000532479,11,44,Oeste,O,42,F,500,9,0,Prata
0000543004,9,65,Leste,L01,48,U,3000,5,0,Prata
0000543683,7,46,Leste,L02,28,M,17409.760000000002,12,0,Ouro
0000553115,8,29,Centro-Oeste,CO02,52,F,2000,12,0,Prata
0000580287,7,53,Centro-Oeste,CO04,20,F,0.009999999999999998,5,1,Bronze
0000588784,9,64,Centro-Oeste,CO02,37,M,1000,12,0,Prata
0000595233,10,49,Leste,L02,30,M,3000,5,1,Prata
0000598453,17,59,Leste,L01,51,F,12000,8,1,Ouro
0000600504,8,37,Norte,N02,52,F,0.009999999999999998,5,0,Bronze
0000601969,5,60,Leste,L01,14,,10000,2,0,Ouro
0000602906,10,64,Norte,N03,52,,0.009999999999999998,4,0,Bronze
0000604011,3,,Norte,N02,16,F,5000,4,0,Prata
0000606316,15,51,Leste,L01,26,F,3000,8,1,Prata
0000607118,8,47,Centro-Oeste,CO02,,F,0.009999999999999998,5,0,Bronze
0000607444,18,51,Centro-Oeste,CO04,11,F,3000,3,0,Prata
0000608378,5,58,Sul,S02,34,F,3050,11,0,Prata
0000610283,9,46,Leste,L01,01,M,0.009999999999999998,9,0,Bronze
0000611662,5,48,Leste,L01,31,U,0.009999999999999998,5,0,Bronze
0000618284,15,,Centro-Oeste,CO01,41,F,0.019999999999999997,,1,Prata
0000621358,4,61,Centro-Oeste,CO02,19,F,6000,1,0,Ouro
0000630888,9,38,Centro-Oeste,CO02,17,F,0.009999999999999998,5,1,Bronze
0000633380,7,68,Leste,L02,41,M,15000.01,6,0,Ouro
0000633542,12,76,Centro-Oeste,CO04,53,F,6000,2,0,Ouro
0000641022,4,56,Norte,N03,32,F,0.009999999999999998,8,0,Bronze
0000642568,8,73,Norte,N01,02,M,360,1,1,Prata
0000649007,8,37,Centro-Oeste,CO02,33,F,0.009999999999999998,9,1,Bronze
0000653500,,32,Centro-Oeste,CO02,25,F,2500,1,1,Prata
0000663603,11,74,Leste,L01,01,F,3350,4,0,Prata
0000666238,9,65,Norte,N03,30,M,6107.639999999999,,0,Ouro
0000667692,5,60,Centro-Oeste,CO02,37,F,5000,2,0,Prata
0000669067,10,35,Sul,S02,30,F,1500,4,0,Prata
0000672785,6,46,Sul,S03,23,F,6544.99,1,0,Ouro
0000674885,3,46,Leste,L01,37,F,6000,5,0,Ouro
0000682144,5,70,Leste,L01,41,F,21684.94,0,0,Platino
0000691178,9,37,Centro-Oeste,CO03,,M,10000,11,1,Ouro
0000693847,4,46,Leste,L02,08,U,6000,3,0,Ouro
0000708569,3,68,Sul,S02,43,U,4000,18,0,Prata
0000711616,10,,Centro-Oeste,CO02,08,U,50000,4,0,Platino
0000714054,11,,Centro-Oeste,CO04,32,U,5000,5,0,Prata
0000723185,12,49,Leste,L01,37,F,3000,3,0,Prata
0000734446,4,63,Centro-Oeste,CO02,38,F,3026.6699999999996,7,0,Prata
0000741779,4,62,Centro-Oeste,CO02,08,U,5000,5,0,Prata
0000742880,5,,Leste,L02,37,F,10000,7,1,Ouro
0000745421,5,62,Centro-Oeste,CO01,34,,0.019999999999999997,8,0,Prata
0000749044,5,74,Norte,N01,22,U,6000,1,0,Ouro
0000750840,5,52,Leste,L02,,F,0.009999999999999998,5,0,Bronze
0000755931,,42,Norte,N02,10,F,0.009999999999999998,4,0,Bronze
0000760641,8,74,Centro-Oeste,CO02,28,,6000,17,1,Ouro
0000764876,7,43,Leste,L02,32,F,0.009999999999999998,5,0,Bronze
0000770264,8,64,Leste,L01,25,F,12000,2,0,Ouro
0000775258,12,31,Norte,N02,44,F,1100,9,0,Prata
0000778176,11,41,Norte,N01,27,F,1000,5,0,Prata
0000779199,9,45,Centro-Oeste,CO04,51,F,0.009999999999999998,8,0,Bronze
0000794872,8,67,Leste,L01,25,,10000.01,2,0,Ouro
0000795267,17,,Leste,L01,01,F,1000,13,1,Prata
0000796026,9,40,Leste,L01,21,F,0.009999999999999998,5,0,Bronze
0000802069,7,70,Leste,L02,05,F,12000,2,0,Ouro
0000804061,20,,Leste,L02,16,F,480,1,1,Prata
0000806994,6,56,Centro-Oeste,CO02,52,,0.009999999999999998,5,0,Bronze
0000807877,,,Leste,L01,13,F,8053.349999999999,1,0,Ouro
0000811831,15,32,Norte,N03,52,,0.009999999999999998,5,1,Bronze
0000819301,10,51,Centro-Oeste,CO03,,M,1000,6,0,Prata
0000823066,8,65,Leste,L01,10,,50,7,0,Prata
0000823961,8,52,Centro-Oeste,CO04,51,F,6000,2,0,Ouro
0000826758,8,,Sul,S02,25,F,6000,2,1,Ouro
0000827614,6,38,Leste,L02,38,F,0.009999999999999998,9,1,Bronze
0000830380,8,43,Leste,L01,32,F,50,10,0,Prata
0000835404,7,37,Norte,N02,44,M,0.009999999999999998,5,0,Bronze
0000836222,7,42,Sul,S03,22,M,0.009999999999999998,5,0,Bronze
0000841013,4,22,Centro-Oeste,CO02,02,U,6000,3,0,Ouro
0000842486,8,31,Centro-Oeste,CO01,44,U,0.009999999999999998,8,0,Bronze
0000848085,15,33,Norte,N02,06,F,0.019999999999999997,7,1,Prata
0000851396,9,,Leste,L01,51,M,600,7,0,Prata
0000853291,8,31,Centro-Oeste,CO02,49,,5000,1,0,Prata
0000856916,8,54,Sul,S02,34,M,12000,8,0,Ouro
0000861820,5,54,Leste,L02,18,F,1000,2,0,Prata
0000870307,9,53,Norte,N03,10,M,6000,3,0,Ouro
0000871095,16,37,Norte,N03,53,F,0.009999999999999998,5,1,Bronze
0000875694,8,63,Oeste,O,28,,6000,2,0,Ouro
0000876623,3,33,Norte,N02,,M,0.009999999999999998,5,0,Bronze
0000878812,7,65,Leste,L01,12,F,0.009999999999999998,8,0,Bronze
0000889199,14,39,Centro-Oeste,CO02,38,F,50,10,1,Prata
0000897485,9,42,Sul,S02,47,F,6000,2,1,Ouro
0000899186,6,67,Norte,N03,37,M,3000,8,0,Prata
0000903191,11,43,Centro-Oeste,CO02,52,F,0.009999999999999998,5,1,Bronze
0000908584,9,,Norte,N02,23,M,6000,6,0,Ouro
0000909459,8,50,Leste,L02,19,F,0.019999999999999997,9,0,Prata
0000910007,5,70,Centro-Oeste,CO02,08,,12000,5,0,Ouro
0000918237,13,58,Centro-Oeste,CO02,28,F,0.009999999999999998,8,0,Bronze
0000919551,13,50,,,,F,0.009999999999999998,5,1,Bronze
0000922366,7,78,Centro-Oeste,CO03,,F,1250,5,0,Prata
0000929506,5,79,Centro-Oeste,CO01,12,M,6000,8,0,Ouro
0000935530,8,68,Leste,L01,01,F,800,8,1,Prata
0000943517,9,48,Leste,L01,01,F,600,8,0,Prata
0000946311,9,,Leste,L01,20,M,3000,3,0,Prata
0000950033,12,35,Oeste,O,51,M,1500,5,0,Prata
0000951897,9,38,Centro-Oeste,CO01,34,F,0.009999999999999998,4,1,Bronze
0000952729,11,42,Norte,N02,17,M,6041.13,5,0,Ouro
0000956155,14,50,Norte,N02,17,M,420.01,4,0,Prata
0000956635,4,63,Norte,N02,22,M,0.009999999999999998,5,1,Bronze
0000963194,9,75,Leste,L01,20,F,6000,1,0,Ouro
0000966932,8,50,Leste,L01,29,F,50,8,0,Prata
0000985295,2,58,Leste,L01,34,F,0.009999999999999998,8,0,Bronze
0000994332,8,66,Centro-Oeste,CO03,,F,500,8,0,Prata
0000997684,6,54,Leste,L01,48,F,50,11,0,Prata
0001002422,7,54,Norte,N02,35,F,0.009999999999999998,5,0,Bronze
0001003402,18,38,Leste,L01,53,F,0.009999999999999998,6,1,Bronze
0001004301,6,,Centro-Oeste,CO01,53,M,6000,2,0,Ouro
0001008129,8,55,Leste,L01,24,M,1000,5,0,Prata
0001009060,8,52,Sul,S02,38,M,0.009999999999999998,4,0,Bronze
0001009931,11,59,Centro-Oeste,CO02,32,F,1500,2,0,Prata
0001011243,6,63,Oeste,O,49,M,1000,2,1,Prata
0001011669,15,47,Norte,N02,38,M,0.009999999999999998,6,0,Bronze
0001012509,6,44,Leste,L01,51,F,0.009999999999999998,8,0,Bronze
0001013394,7,39,Leste,L01,04,F,0.009999999999999998,7,0,Bronze
0001018361,5,72,Centro-Oeste,CO02,04,U,6000,2,0,Ouro
0001022334,8,38,Centro-Oeste,CO04,47,M,0.009999999999999998,5,0,Bronze
0001024248,13,72,Leste,L02,30,F,0.009999999999999998,8,0,Bronze
0001029592,11,,Leste,L01,27,M,0.009999999999999998,4,1,Bronze
0001030302,6,76,Sul,S01,49,,3000,8,0,Prata
0001036084,11,50,Norte,N01,32,,3000,8,0,Prata
0001040227,7,66,Centro-Oeste,CO04,19,F,9000,8,0,Ouro
0001040944,6,51,Leste,L01,38,,0.009999999999999998,5,0,Bronze
0001041231,7,61,Centro-Oeste,CO02,19,,6107.639999999999,,0,Ouro
0001043773,3,63,Centro-Oeste,CO02,25,,0.009999999999999998,8,0,Bronze
0001054015,6,78,Leste,L01,51,F,7500,5,0,Ouro
0001055682,9,55,Centro-Oeste,CO01,15,M,5672.3099999999995,2,0,Ouro
0001060228,7,49,Centro-Oeste,CO02,53,M,10000,3,0,Ouro
0001061348,13,70,Leste,L01,05,,2884.96,8,0,Prata
0001068601,6,45,Centro-Oeste,CO02,32,F,0.009999999999999998,4,0,Bronze
0001070037,5,73,Sul,S02,52,F,600,32,0,Prata
0001070460,8,71,Leste,L01,04,F,23425,4,1,Platino
0001072773,14,52,Leste,L01,27,F,7017.55,5,0,Ouro
0001080016,11,52,Centro-Oeste,CO01,34,F,0.009999999999999998,,0,Bronze
0001083767,9,64,,,52,F,3000,1,0,Prata
0001084607,9,57,Centro-Oeste,CO02,16,F,9052.66,7,0,Ouro
0001087452,6,,Centro-Oeste,CO02,44,F,2000,27,0,Prata
0001091085,10,63,Norte,N02,27,M,6053.339999999999,4,0,Ouro
0001094955,,32,Centro-Oeste,CO02,41,F,0.009999999999999998,4,1,Bronze
0001097474,20,39,Norte,N02,24,M,0.009999999999999998,8,1,Bronze
0001098918,7,35,Centro-Oeste,CO02,22,F,0.009999999999999998,4,1,Bronze
0001101579,8,58,Centro-Oeste,CO04,48,F,1930,9,0,Prata
0001103288,10,40,Centro-Oeste,CO02,23,F,0.009999999999999998,4,1,Bronze
0001104136,13,,Leste,L02,25,M,980,5,1,Prata
0001108646,9,61,Leste,L01,03,F,12150,11,0,Ouro
0001111434,13,70,Norte,N02,25,F,500,11,0,Prata
0001115014,12,,Centro-Oeste,CO02,31,F,9000,11,0,Ouro
0001117629,7,,Centro-Oeste,CO02,35,F,0.009999999999999998,8,0,Bronze
0001128353,5,70,Norte,N02,52,F,3500,5,0,Prata
0001131451,6,60,Centro-Oeste,CO04,03,F,10000,4,0,Ouro
0001134051,14,77,Leste,L02,06,F,4884.25,11,0,Prata
0001135724,10,74,Leste,L02,42,F,4500,12,0,Prata
0001136585,7,67,Centro-Oeste,CO04,33,F,3000,5,0,Prata
0001137492,7,51,Centro-Oeste,CO02,27,M,17000,11,1,Ouro
0001138235,18,37,Centro-Oeste,CO02,25,F,50.01,8,1,Prata
0001143662,8,35,Norte,N02,52,,5044.459999999999,5,0,Ouro
0001150820,5,58,Sul,S03,20,F,6000,22,0,Ouro
0001151037,6,27,Leste,L02,30,F,5,7,0,Prata
0001154958,5,72,Leste,L01,12,U,32050,12,0,Platino
0001156179,9,70,Leste,L01,31,F,6000,8,0,Ouro
0001162020,7,,Centro-Oeste,CO04,51,F,0.009999999999999998,2,0,Bronze
0001164910,7,51,Norte,N02,38,M,0.009999999999999998,10,0,Bronze
0001176846,9,31,,,52,F,1064.4499999999998,1,1,Prata
0001178520,10,58,Centro-Oeste,CO04,51,F,3000.01,8,0,Prata
0001179462,10,73,Centro-Oeste,CO04,38,F,0.009999999999999998,6,0,Bronze
0001184199,7,38,Leste,L01,51,F,4500,4,0,Prata
0001186671,7,71,Leste,L01,01,F,2000,3,1,Prata
0001190369,22,50,Leste,L01,22,M,3000,6,1,Prata
0001191357,9,,Centro-Oeste,CO04,,U,2000,4,0,Prata
0001192051,6,51,Centro-Oeste,CO02,22,F,3500,27,0,Prata
0001195654,10,33,Centro-Oeste,CO04,35,F,0.009999999999999998,8,0,Bronze
0001196413,6,67,Centro-Oeste,CO02,01,U,5000,4,0,Prata
0001201212,,78,Leste,L02,15,M,3000,8,0,Prata
0001214039,8,64,Leste,L01,02,F,20000,4,1,Ouro
0001214934,9,50,Leste,L01,52,F,5000,4,0,Prata
0001219553,8,76,Norte,N02,37,U,6000,15,0,Ouro
